user_id,uuid,age,gender,city,university,major,study_year,living_status,scholarship,part_time_income,other_income,total_income,monthly_budget,financial_goal,goal_amount,target_months,financial_personality
1,d1873577-4559-403e-8be7-e39a48cb9a55,20,Male,Jeddah,King Khalid University,Accounting,1,With Family,1000,0,0,1000,793.73,Phone,4500,3,Shopaholic
2,5cda57c6-9233-47e2-8cc7-9c3482b8bd03,22,Male,Dammam,Qassim University,Business Administration,3,With Family,1000,800,0,1800,1694.6,Emergency Fund,6000,9,Disciplined
3,63e1eabc-bef3-4d29-a00d-8de85b115447,18,Female,Jeddah,Qassim University,Software Engineering,5,With Family,990,0,0,990,866.97,Travel,4000,9,Shopaholic
4,74c2854b-fae4-4078-9165-632f7a79ca84,19,Male,Jeddah,Qassim University,Artificial Intelligence,4,Dorm,1000,0,0,1000,822.97,Travel,4000,9,Balanced
5,cccb3d64-e48d-4b26-aa77-9bec6ee49880,20,Male,Dammam,Taibah University,Accounting,3,Alone,1000,800,0,1800,1580.4,Laptop,5000,6,Social Spender
6,22160a74-9e6e-4a4b-8666-9db82216ff88,23,Female,Madinah,Princess Nourah University,Cybersecurity,5,Shared Apartment,1000,1200,0,2200,1788.46,Laptop,5000,12,Balanced
7,c40be86b-fe47-4536-b7c3-c287b97e859e,22,Female,Tabuk,King Fahd University of Petroleum and Minerals,Cybersecurity,2,With Family,1500,500,0,2000,1536.36,Phone,4500,3,Impulsive
8,d3320474-a8f6-4e83-b78a-5282f9aeffd4,19,Female,Tabuk,King Khalid University,Finance,5,With Family,990,0,0,990,852.04,Car,25000,3,Social Spender
9,1f9ad8ff-3e79-40c1-9299-dfd9d3a10343,23,Male,Madinah,Qassim University,Information Systems,4,With Family,990,1200,200,2390,2137.66,Investment,10000,9,Improving
10,a3f3ea6a-56a6-4a3e-adc9-07933d84a464,22,Male,Dammam,King Fahd University of Petroleum and Minerals,Electrical Engineering,2,With Family,1000,500,0,1500,1358.59,Gaming PC,8000,3,Tech Enthusiast
11,bc5cb1ab-aa6e-459f-a571-b0976b182949,22,Male,Riyadh,Imam Mohammad Ibn Saud Islamic University,Nursing,1,With Family,990,0,0,990,838.73,Investment,10000,3,Improving
12,7fa1ff26-8b6f-4a03-b566-f0b3e5f3b50c,20,Female,Tabuk,Imam Mohammad Ibn Saud Islamic University,Medicine,2,Dorm,1000,0,0,1000,829.8,Car,25000,9,Coffee Lover
13,182e8ba0-be9a-438d-9911-6a648436359d,18,Male,Makkah,King Saud University,Software Engineering,1,With Family,1000,0,0,1000,931.08,Travel,4000,9,Disciplined
14,17273d29-4e0b-401e-a425-eb661f5b36dc,25,Male,Qassim,Qassim University,Cybersecurity,1,With Family,990,800,0,1790,1496.82,Phone,4500,12,Coffee Lover
15,eac9fb49-8a19-4cea-a04c-edcbe64c7ad7,19,Male,Tabuk,King Fahd University of Petroleum and Minerals,Electrical Engineering,1,With Family,1500,0,0,1500,1182.06,Gaming PC,8000,12,Disciplined
16,d4a876d5-bf0d-4a81-a8a7-a513d72fd399,25,Male,Riyadh,Umm Al-Qura University,Computer Science,1,Alone,990,500,400,1890,1738.31,Laptop,5000,6,Coffee Lover
17,ed21f636-6456-484f-81b9-22d866df4573,24,Male,Tabuk,Prince Sattam bin Abdulaziz University,Electrical Engineering,4,With Family,990,1200,400,2590,2303.33,Phone,4500,12,Balanced
18,5cd5e80f-e48f-4004-97c2-df1e6b304595,18,Female,Riyadh,King Saud University,Nursing,4,With Family,990,1800,0,2790,2568.32,Car,25000,6,Disciplined
19,09b7e495-e62e-475a-ad5b-ff6a66b1f46d,21,Female,Jeddah,King Khalid University,Cybersecurity,5,Dorm,1000,1200,0,2200,1922.53,Laptop,5000,12,Tech Enthusiast
20,3c3d043a-6e75-4c10-bfbd-890badb12f81,23,Male,Madinah,Qassim University,Information Systems,3,With Family,1000,0,0,1000,935.8,Gaming PC,8000,3,Disciplined
21,e263a36f-d645-4dad-98fe-d888abba9367,21,Female,Dammam,King Fahd University of Petroleum and Minerals,Software Engineering,2,With Family,1000,500,0,1500,1172.32,Car,25000,9,Tech Enthusiast
22,14b7ed04-f722-4cae-8ce2-d6a302b8a18b,22,Male,Dammam,Prince Sattam bin Abdulaziz University,Software Engineering,1,Dorm,1500,800,0,2300,1796.51,Investment,10000,9,Tech Enthusiast
23,15c1c6ab-0bcf-417b-bd22-889037b1ebe0,25,Female,Riyadh,Princess Nourah University,Law,4,Shared Apartment,1000,0,0,1000,758.82,Travel,4000,9,Budget Student
24,4fbcdb4c-b07e-4502-acb5-65505bfc758d,24,Male,Jeddah,Princess Nourah University,Mechanical Engineering,2,With Family,1000,0,200,1200,1100.3,Car,25000,6,Coffee Lover
25,dff1f615-d4ca-4e59-b489-4c83b2852fc1,18,Female,Makkah,Imam Mohammad Ibn Saud Islamic University,Law,1,With Family,0,0,400,400,344.79,Investment,10000,12,Improving
26,fce82ef2-4ab4-4a54-825b-bf12f280b8ec,20,Female,Riyadh,King Abdulaziz University,Mechanical Engineering,3,Shared Apartment,1000,1800,0,2800,2330.56,Phone,4500,6,Balanced
27,4f6ffbb8-3c4d-4a9b-b88e-91683a170fd0,25,Male,Makkah,Taibah University,Business Administration,3,Shared Apartment,1000,0,400,1400,1293.97,Investment,10000,6,Disciplined
28,12f90075-3350-43aa-8e30-3c6e065cfc4c,22,Female,Tabuk,Umm Al-Qura University,Business Administration,1,With Family,990,0,400,1390,1312.27,Investment,10000,6,Tech Enthusiast
29,3da59236-509b-4741-90a6-59f8618d54bf,23,Female,Jeddah,Qassim University,Nursing,2,With Family,1500,0,0,1500,1337.64,Travel,4000,3,Shopaholic
30,7a667007-8540-4f6a-8a53-533f885601f9,21,Female,Tabuk,Princess Nourah University,Law,3,Dorm,1000,800,400,2200,1941.89,Gaming PC,8000,3,Social Spender
31,0a65bd34-e4e1-4072-b33f-1abf1c391ba5,22,Male,Makkah,Qassim University,Law,4,Dorm,990,0,0,990,921.26,Emergency Fund,6000,9,Coffee Lover
32,e940635a-8984-43c1-ac78-1281b2905af6,23,Female,Qassim,Taibah University,Law,2,With Family,1000,0,0,1000,908.75,Investment,10000,6,Tech Enthusiast
33,06cf9897-fcd6-4b11-9a6c-4bef929a60e7,21,Female,Makkah,Imam Mohammad Ibn Saud Islamic University,Information Systems,1,With Family,990,800,0,1790,1694.75,Laptop,5000,3,Coffee Lover
34,d03e2f13-a602-4426-a8d1-eb2108448167,25,Female,Makkah,King Abdulaziz University,Law,1,Shared Apartment,1500,500,200,2200,2028.59,Emergency Fund,6000,3,Budget Student
35,07883743-f08f-4615-af27-736c72f97144,18,Male,Jeddah,Taibah University,Information Systems,4,Dorm,990,1200,0,2190,2075.2,Emergency Fund,6000,9,Improving
36,743b1244-af6f-402b-8ba5-549c7a1469a1,24,Female,Dammam,Taibah University,Finance,3,Shared Apartment,1500,800,200,2500,2294.93,Car,25000,9,Budget Student
37,c1aff176-912a-43bc-bfd6-74615c322f8a,22,Male,Madinah,King Fahd University of Petroleum and Minerals,Business Administration,5,With Family,1000,800,0,1800,1404.3,Laptop,5000,12,Social Spender
38,0760682f-0798-4497-93b7-2959c706c264,25,Female,Riyadh,Imam Mohammad Ibn Saud Islamic University,Accounting,4,Alone,1000,0,0,1000,866.82,Car,25000,3,Budget Student
39,6fffcc2d-ae48-4201-af62-895f064c838a,22,Female,Tabuk,Umm Al-Qura University,Mechanical Engineering,5,Shared Apartment,1000,0,0,1000,929.56,Travel,4000,12,Balanced
40,76c1d826-f03e-40e3-8286-4ba312c5530c,24,Male,Qassim,King Abdulaziz University,Nursing,5,With Family,990,0,0,990,820.52,Gaming PC,8000,3,Disciplined
41,e37bc656-b2e2-4527-b10f-0a4271eca91c,24,Female,Makkah,Taibah University,Business Administration,3,Shared Apartment,990,1200,0,2190,1808.56,Travel,4000,12,Balanced
42,2c8b5707-9439-4fe5-8b6e-cb5bd2862093,21,Male,Riyadh,King Saud University,Cybersecurity,2,Shared Apartment,0,0,0,0,0.0,Travel,4000,6,Disciplined
43,e771d05e-4d4c-4247-abf0-8bbedcd28204,22,Female,Dammam,King Khalid University,Nursing,1,Shared Apartment,1000,500,0,1500,1174.13,Gaming PC,8000,9,Disciplined
44,8c92a5dd-7dde-4528-a8b7-613ea75bbc06,24,Male,Jeddah,King Khalid University,Mechanical Engineering,2,With Family,0,0,0,0,0.0,Emergency Fund,6000,3,Budget Student
45,efaaa669-afae-49f8-a4f0-d77cbfff5ad5,23,Male,Abha,King Saud University,Accounting,4,With Family,1000,0,0,1000,942.16,Gaming PC,8000,12,Social Spender
46,9b57b612-208d-45fc-826b-05c396103185,25,Female,Tabuk,King Khalid University,Artificial Intelligence,3,Shared Apartment,990,800,700,2490,2281.2,Travel,4000,3,Balanced
47,cf256f3e-55e3-4ab4-aa90-c987fcf62f41,24,Female,Riyadh,Taibah University,Business Administration,2,With Family,990,1200,0,2190,1797.91,Gaming PC,8000,9,Balanced
48,d14eecd2-1468-4851-ae48-61a4f68ad75c,21,Male,Makkah,Qassim University,Finance,5,Shared Apartment,1500,800,0,2300,2042.68,Laptop,5000,12,Coffee Lover
49,a4b5f550-4b82-44ad-82bb-7258e72c7986,22,Female,Qassim,Umm Al-Qura University,Medicine,3,With Family,0,0,0,0,0.0,Phone,4500,9,Balanced
50,9023b00b-af3f-4579-9840-1117e3786b86,21,Female,Jeddah,Umm Al-Qura University,Electrical Engineering,2,With Family,990,0,0,990,888.74,Gaming PC,8000,9,Social Spender
51,466d009f-cb21-4d5e-b166-4dc025d0ce90,21,Female,Makkah,King Fahd University of Petroleum and Minerals,Information Systems,3,With Family,1500,500,0,2000,1713.65,Laptop,5000,9,Disciplined
52,b8884a1e-76f3-47ba-8026-b6c60a17bed9,25,Male,Riyadh,King Khalid University,Artificial Intelligence,4,With Family,0,0,400,400,327.26,Gaming PC,8000,3,Balanced
53,42f9a784-639f-4c13-b3c6-d4819346f903,19,Male,Dammam,King Abdulaziz University,Electrical Engineering,5,Alone,1500,0,0,1500,1150.55,Emergency Fund,6000,6,Disciplined
54,7ae65109-51c1-4dd7-ae50-546d736e7f56,24,Female,Qassim,Prince Sattam bin Abdulaziz University,Nursing,4,With Family,1000,800,200,2000,1748.41,Phone,4500,3,Overspender
55,5fd6e713-8997-4b6c-8a96-927a008fad99,21,Male,Jeddah,King Abdulaziz University,Computer Science,4,With Family,990,0,0,990,860.07,Phone,4500,9,Disciplined
56,f48768c2-3bc6-4dfc-a74f-254a8a31bb48,21,Female,Makkah,Qassim University,Software Engineering,5,With Family,990,0,400,1390,1083.92,Laptop,5000,9,Budget Student
57,a65ee11a-886f-4e82-a8b5-5e5c04fcac88,22,Female,Jeddah,Taibah University,Mechanical Engineering,3,Dorm,0,0,0,0,0.0,Gaming PC,8000,12,Coffee Lover
58,07126ac6-5b19-4063-8e05-441150d8efa0,22,Male,Jeddah,Imam Mohammad Ibn Saud Islamic University,Law,5,Dorm,1000,1200,200,2400,1809.96,Car,25000,9,Shopaholic
59,837b14ce-fa8e-49d8-82cb-9ac28b55f726,22,Male,Tabuk,Taibah University,Software Engineering,4,With Family,1000,0,0,1000,816.66,Emergency Fund,6000,3,Budget Student
60,ec002771-d14f-4dbe-89d5-3168e5ba3b3d,18,Female,Jeddah,King Fahd University of Petroleum and Minerals,Artificial Intelligence,3,With Family,990,800,0,1790,1619.07,Emergency Fund,6000,3,Tech Enthusiast
61,b266ab28-d61f-4761-904f-410848aadf84,25,Female,Riyadh,Imam Mohammad Ibn Saud Islamic University,Artificial Intelligence,5,With Family,1000,0,0,1000,807.61,Travel,4000,12,Disciplined
62,ddc62a56-1347-4bf5-850b-f3ae4fd69019,22,Male,Tabuk,Princess Nourah University,Cybersecurity,1,With Family,1500,800,0,2300,1779.03,Phone,4500,6,Coffee Lover
63,daf3a385-3eaa-4f6a-8e98-f6e98f024b6e,25,Female,Makkah,Taibah University,Medicine,2,With Family,1000,500,0,1500,1401.56,Investment,10000,6,Impulsive
64,6c51e4c6-5161-4c7a-98b4-ccef5f33aed1,22,Male,Madinah,Prince Sattam bin Abdulaziz University,Nursing,5,Alone,990,1200,0,2190,1856.96,Investment,10000,6,Coffee Lover
65,4c563167-50b9-4f9e-a974-ccb2b708569f,25,Female,Makkah,Imam Mohammad Ibn Saud Islamic University,Nursing,4,With Family,990,0,200,1190,1077.08,Emergency Fund,6000,3,Balanced
66,883ed6a6-c519-4f44-881f-9676150c78f5,20,Female,Riyadh,King Abdulaziz University,Medicine,5,With Family,990,1800,0,2790,2148.5,Gaming PC,8000,12,Disciplined
67,5132535e-e95a-46a3-b07f-e77adc4c68f6,20,Male,Qassim,Prince Sattam bin Abdulaziz University,Business Administration,5,Dorm,1500,0,0,1500,1319.95,Investment,10000,9,Budget Student
68,6a4a0fd0-7367-4c1e-910e-c33a6320d7a0,25,Male,Jeddah,Imam Mohammad Ibn Saud Islamic University,Law,3,Alone,1500,0,0,1500,1349.03,Gaming PC,8000,12,Improving
69,38cc7f1b-f2d5-4a70-97fa-6be765359fae,22,Male,Riyadh,King Fahd University of Petroleum and Minerals,Electrical Engineering,1,With Family,1000,800,0,1800,1484.94,Phone,4500,6,Balanced
70,5948acfc-0b17-4ef0-a68b-1ccc9309674c,19,Female,Makkah,Taibah University,Nursing,2,With Family,990,800,0,1790,1570.87,Phone,4500,12,Balanced
71,2efa7c87-8f06-4f7b-bdb7-c91bdd275afb,20,Male,Qassim,King Fahd University of Petroleum and Minerals,Nursing,3,Dorm,0,1200,400,1600,1335.78,Gaming PC,8000,9,Coffee Lover
72,7f6a8881-75a4-489a-94c6-764dd422efe2,21,Female,Abha,King Khalid University,Artificial Intelligence,3,With Family,990,2500,400,3890,3563.27,Laptop,5000,12,Balanced
73,3b6e0b80-5589-4a50-8113-2b6a383f6791,25,Female,Makkah,King Khalid University,Electrical Engineering,3,With Family,1000,800,200,2000,1576.05,Laptop,5000,9,Social Spender
74,4300a6e8-7bd3-418c-8101-afd67e1c32e6,19,Male,Madinah,Taibah University,Computer Science,5,With Family,1000,800,200,2000,1552.56,Gaming PC,8000,9,Balanced
75,500ab113-2dbb-436f-a91d-3f105605f3e6,22,Male,Madinah,Taibah University,Electrical Engineering,3,Dorm,990,0,200,1190,973.11,Travel,4000,3,Coffee Lover
76,301df692-00f7-42ce-8d38-4d75fdc85776,24,Female,Jeddah,Qassim University,Computer Science,3,With Family,0,1200,0,1200,1009.15,Gaming PC,8000,9,Tech Enthusiast
77,9bb981ae-4e02-4dda-b925-36d8357f276a,25,Male,Abha,King Khalid University,Cybersecurity,1,Dorm,1000,1800,0,2800,2359.99,Phone,4500,9,Tech Enthusiast
78,586cd183-beca-4a37-9f12-bc09c0e2697b,19,Male,Makkah,Umm Al-Qura University,Information Systems,4,With Family,990,0,0,990,875.26,Emergency Fund,6000,12,Tech Enthusiast
79,06155afa-188d-420e-9bec-9276b233bf70,25,Female,Madinah,King Saud University,Mechanical Engineering,3,With Family,1000,1200,0,2200,1845.67,Investment,10000,6,Budget Student
80,27a21742-6bb0-4727-a8cc-6544a6fd879f,23,Male,Tabuk,Prince Sattam bin Abdulaziz University,Cybersecurity,1,Alone,0,800,0,800,731.87,Gaming PC,8000,3,Social Spender
81,e147a881-fbc2-4b0a-bd96-3d3496f3baba,23,Male,Dammam,King Khalid University,Cybersecurity,1,Shared Apartment,1000,500,0,1500,1291.26,Investment,10000,6,Budget Student
82,c41cebe6-5426-42dd-a659-b2eaa6e9c257,18,Female,Dammam,King Abdulaziz University,Medicine,3,Shared Apartment,990,1200,200,2390,1845.04,Car,25000,3,Disciplined
83,5fa2d6e6-9cb8-4ee6-b5ef-be95dd751ac9,20,Female,Riyadh,King Abdulaziz University,Mechanical Engineering,4,With Family,990,1200,0,2190,1969.1,Laptop,5000,12,Coffee Lover
84,6f415bcb-8953-4c25-9bfb-4b5aed1abcda,18,Female,Qassim,King Saud University,Computer Science,4,Shared Apartment,990,500,0,1490,1244.53,Phone,4500,3,Coffee Lover
85,3ecb44e1-61fc-4a7f-bab8-7cbf58b8bae4,20,Male,Dammam,Prince Sattam bin Abdulaziz University,Nursing,5,With Family,1500,0,0,1500,1222.56,Car,25000,9,Coffee Lover
86,c2c09917-3542-4b9b-af2f-585372b4812a,21,Female,Qassim,Imam Mohammad Ibn Saud Islamic University,Accounting,3,Shared Apartment,1000,0,200,1200,995.7,Investment,10000,3,Balanced
87,ee81e4a5-65ee-4a9e-89cc-825367313d73,25,Male,Jeddah,Princess Nourah University,Software Engineering,4,With Family,990,0,700,1690,1517.21,Gaming PC,8000,6,Shopaholic
88,3401adcf-e7e9-4eaf-9377-d26d3e1a30ce,24,Female,Tabuk,King Saud University,Artificial Intelligence,5,With Family,1000,500,0,1500,1156.08,Laptop,5000,6,Balanced
89,d0007268-ce61-4f29-bf13-c207c15364c1,23,Male,Madinah,King Khalid University,Cybersecurity,4,Shared Apartment,990,1200,0,2190,2069.35,Car,25000,3,Tech Enthusiast
90,20156c2d-abd9-426a-bfd3-241c1ce1ab7a,22,Female,Abha,King Saud University,Information Systems,2,Dorm,1000,800,0,1800,1494.28,Travel,4000,6,Social Spender
91,6ae0e80f-ec6e-473c-a198-5f8a2e4c5dd6,24,Female,Abha,King Abdulaziz University,Business Administration,3,Dorm,1500,0,0,1500,1358.05,Emergency Fund,6000,3,Impulsive
92,a4cd1931-0e0f-4233-b1ed-87e17b29d911,22,Female,Tabuk,Taibah University,Nursing,4,With Family,990,1200,0,2190,1736.92,Laptop,5000,3,Balanced
93,9ef947ab-2a98-4296-b648-9cd4e499f701,22,Male,Makkah,Qassim University,Nursing,1,With Family,990,800,0,1790,1450.41,Car,25000,6,Budget Student
94,646d62a6-275d-4601-9a92-9c0117fbb376,24,Male,Dammam,Qassim University,Medicine,2,With Family,1000,0,0,1000,916.67,Emergency Fund,6000,9,Disciplined
95,43fe1733-a7e9-4491-afc3-a84df2c94b02,23,Female,Tabuk,Qassim University,Artificial Intelligence,1,With Family,1500,0,0,1500,1414.86,Laptop,5000,6,Budget Student
96,814b315b-27af-42fb-859a-0a84c24a7830,24,Male,Makkah,Qassim University,Nursing,4,With Family,1000,1200,400,2600,2155.8,Laptop,5000,9,Social Spender
97,b8ec52b8-a22e-4fb2-b594-efc2e260d9c0,19,Male,Abha,King Fahd University of Petroleum and Minerals,Mechanical Engineering,2,With Family,990,1200,0,2190,1706.64,Gaming PC,8000,6,Balanced
98,cc156a05-2f3b-4b5f-ae3c-d99effb41eed,25,Female,Qassim,King Khalid University,Law,5,With Family,990,1200,0,2190,2067.79,Investment,10000,9,Balanced
99,60a2776a-5866-42d7-9b4b-d999ef38ee67,18,Female,Jeddah,Prince Sattam bin Abdulaziz University,Finance,4,With Family,0,0,0,0,0.0,Travel,4000,9,Disciplined
100,a4027607-3e5e-4d3e-acee-b4400957045e,24,Female,Riyadh,Taibah University,Electrical Engineering,5,Dorm,1500,1200,0,2700,2198.62,Car,25000,12,Shopaholic
